company_name,company_number,company_status,company_type,date_of_cessation,date_of_creation,sic_codes,company_subtype,address_line_1,locality,postal_code,address_line_2,region,country,SICCODE_0,SICCODE_1,SICCODE_2,SICCODE_3,Value
HQ BAR (GRAVESEND) LTD,7832593,dissolved,ltd,12-07-2016,02-11-2011,['56302'],,3a Windmill Street,Gravesend,DA12 1AD,,Kent,England,56302,,,,TRUE
BROADOAK ENTERPRISES LIMITED,7837595,dissolved,ltd,16-06-2015,07-11-2011,['56302'],,58 High Street,Rochester,ME1 1LD,,Kent,,56302,,,,TRUE
THE SCOTLAND (BIRSTALL) LTD,7836327,dissolved,ltd,31-10-2017,04-11-2011,['56302'],,691 Bradford Road,Bradford,BD11 2AU,Birkenshaw,West Yorkshire,England,56302,,,,TRUE
A & M BARS LIMITED,7838496,dissolved,ltd,17-08-2019,08-11-2011,['56302'],,7 Smithford Walk,Liverpool,L35 1SF,,,,56302,,,,TRUE
KILMARNOCK PUB CO LIMITED,7845082,dissolved,ltd,29-03-2016,11-11-2011,['56302'],,"5th Floor, Ergon House",London,SW1P 2AL,Horseferry Road,,,56302,,,,TRUE
FERRY HOUSE PUB MANAGEMENT LTD,7846782,dissolved,ltd,17-11-2020,14-11-2011,['56302'],,26 Ferry Street,London,E14 3DT,,,England,56302,,,,TRUE
STOKER LEISURE LIMITED,7847078,dissolved,ltd,05-01-2016,14-11-2011,['56302'],,15 Olive Street,Sunderland,SR1 3PE,,,England,56302,,,,TRUE
BRIGHTSTAR LEISURE LTD,7847659,dissolved,ltd,12-07-2016,15-11-2011,['56302'],,Abertawe House Ystrad Road,Swansea,SA5 4JB,Fforestfach,,,56302,,,,TRUE
CROSS KEYS (PONTEFRACT) LIMITED,7847852,dissolved,ltd,07-06-2016,15-11-2011,['56302'],,Innscribe Uk,Bradford,BD1 4AB,14 Mill Street,West Yorkshire,,56302,,,,TRUE
THE WHEEL INN (U.K) LIMITED,7848262,dissolved,ltd,12-12-2017,15-11-2011,['56302'],,81 Roseneath Avenue,Leicester,LE4 7GU,,,,56302,,,,TRUE
YOURTUBEZ LIMITED,7850473,dissolved,ltd,14-01-2020,16-11-2011,['56302'],,10 Hanover Street,Bromsgrove,B61 7JH,,Worcestershire,,56302,,,,TRUE
